STATISTICAL RESULTS OF THE MOS/pn CROSS-CALIBRATION BIAS FOR THE CLUSTER SAMPLE IN TABLE 2 IN NEVALAINEN & MOLENDI (2023)
MOS1/MOS2 VALUES ARE APPROXIMATIVE AND THUS NOT PROVIDED
1ST COLUMN:  THE MID POINT OF THE ENEGY BIN (KEV)
2ND AND 3RD  COLUMNS: THE LOWER AND UPPER BOUNDARIES OF THE ENERGY BIN (KEV)
4TH COLUMN:  THE MEDIAN MEASURE OF THE MOS1/PN CROSS-CALIBRATION BIAS
5TH COLUMN:  THE STATISTICAL UNCERTAINTY OF J2(MOS1/pn)
6TH COLUMN:  THE SYSTEMATIC UNCERTAINTY OF J2(MOS1/pn)
7TH COLUMN:  THE STANDARD DEVIATION OF  J2(MOS1/pn)
8TH COLUMN:  THE MEDIAN MEASURE OF THE MOS2/PN CROSS-CALIBRATION BIAS
9TH COLUMN:  THE STATISTICAL UNCERTAINTY OF J2(MOS2/pn)
10TH COLUMN: THE SYSTEMATIC UNCERTAINTY OF J2(MOS2/pn)
11TH COLUMN: THE STANDARD DEVIATION OF J2(MOS2/pn)
1       2     3       4            5                6               7                 8            9                10              11
E_cntr  E_lo  E_hi    J2(m1/pn)    sig J2(m1/pn)    sys J2(m1/pn)   std J2(m1/pn)     J2(m2/pn)    sig J2(m2/pn)    sys J2(m2/pn)   std J2(m2/pn)
0.7     0.5   0.9     1.0322243    0.0016206893     0.010322243     0.041796964       1.0407960    0.0016308318     0.010407960     0.045558650
1.1     0.9   1.3     1.0564954    0.0015060779     0.010564954     0.023922121       1.0707292    0.0015179981     0.010707292     0.030010810
1.5     1.3   1.7     1.0744347    0.0017077671     0.010744347     0.019038800       1.0744782    0.0017026174     0.010744782     0.028188833
1.9     1.7   2.1     1.0572008    0.0021282526     0.010572007     0.030000814       1.0458757    0.0020976229     0.010458757     0.037937299
2.3     2.1   2.5     1.0692162    0.0028622598     0.010692162     0.023716954       1.0498496    0.0028115116     0.010498495     0.034974341
2.7     2.5   2.9     1.0591395    0.0033503378     0.010591395     0.041541200       1.0425607    0.0033006250     0.010425606     0.037017268
3.1     2.9   3.3     1.0690993    0.0036687808     0.010690993     0.042315864       1.0521725    0.0036099317     0.010521724     0.045158235
3.5     3.3   3.7     1.0998597    0.0041380279     0.010998597     0.040404976       1.0552446    0.0039730859     0.010552446     0.044846279
3.9     3.7   4.1     1.0912936    0.0044333832     0.010912936     0.049190118       1.0601260    0.0043035844     0.010601260     0.044715515
4.3     4.1   4.5     1.1122086    0.0049850077     0.011122085     0.047718804       1.0788980    0.0048288487     0.010788980     0.045058508
4.7     4.5   4.9     1.1550888    0.0056914498     0.011550888     0.061602976       1.0991024    0.0054077361     0.010991024     0.076195042
5.1     4.9   5.3     1.2033347    0.0065947461     0.012033347     0.099565963       1.1602443    0.0063370576     0.011602443     0.093812567
5.5     5.3   5.7     1.2732010    0.0077260993     0.012732009     0.138611610       1.2160808    0.0073553627     0.012160808     0.132806440
5.9     5.7   6.1     1.2660669    0.0084781297     0.012660669     0.150953590       1.2198158    0.0081614975     0.012198157     0.144717650
